Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
A44_S2_R1	12.7467164872	75.5162986554	19671500.0	9.09090909091	40.0
A44_S2_R2	13.2411723629	75.5342965712	19671500.0	18.1818181818	41.0
Control_S5_R1	15.5745403111	75.5169442798	26731086.0	9.09090909091	41.0
Control_S5_R2	15.2318452723	75.5090156457	26731086.0	18.1818181818	41.0
H22_S4_R1	14.5976214898	75.53900805	36836717.0	9.09090909091	40.0
H22_S4_R2	13.8157118884	75.5343787558	36836717.0	9.09090909091	40.0
L31_S1_R1	14.8109448458	75.5340589991	35870417.0	9.09090909091	39.0
L31_S1_R2	14.1304865647	75.5278507635	35870417.0	9.09090909091	39.0
cos2_S3_R1	15.6040312236	75.534122564	34005182.0	9.09090909091	39.0
cos2_S3_R2	14.5850611517	75.5365271681	34005182.0	9.09090909091	39.0
