Sample	bp_processed	r_with_adapters	quality_trimmed	r_processed	percent_trimmed	bp_written
A44_S2_R1_val_1	1423265438	4154769	1936609	19092662	1.55303321572	1401161653
A44_S2_R2_val_2	1423962305	4437182	1865491	19092662	2.11165301879	1393893162
Control_S5_R1_val_1	1911516573	4991569	3175151	25787116	1.6112818709	1880716653
Control_S5_R2_val_2	1918735737	2072820	2918107	25787116	1.67073684937	1886678712
H22_S4_R1_val_1	2729769801	7993978	2170701	36438873	0.675486225734	2711330582
H22_S4_R2_val_2	2727159103	7946123	2938483	36438873	1.00303847216	2699804648
L31_S1_R1_val_1	2649611020	6539152	3930199	35562442	0.601519727979	2633673087
L31_S1_R2_val_2	2658667029	2438251	3084057	35562442	0.561674171196	2643733983
cos2_S3_R1_val_1	2528360079	7109077	1864495	33736707	0.53560274553	2514818113
cos2_S3_R2_val_2	2523868849	7522610	2681612	33736707	0.823506697198	2503084620
