Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
A44_S2_R1_val_1	1.55303321572					
A44_S2_R1_val_1_val_1		10.2248865345	74.5105822319	18729461.0	9.09090909091	38.0
A44_S2_R2_val_2	2.11165301879					
A44_S2_R2_val_2_val_2		9.48074817953	74.36471167	18729461.0	9.09090909091	38.0
Control_S5_R1_val_1	1.6112818709					
Control_S5_R1_val_1_val_1		12.2871927121	74.051934688	25290072.0	9.09090909091	39.0
Control_S5_R2_val_2	1.67073684937					
Control_S5_R2_val_2_val_2		12.4536607313	74.5279613281	25290072.0	9.09090909091	39.0
H22_S4_R1_val_1	0.675486225734					
H22_S4_R1_val_1_val_1		12.864943765	74.6145954058	36202337.0	9.09090909091	39.0
H22_S4_R2_val_2	1.00303847216					
H22_S4_R2_val_2_val_2		11.8605217127	74.5368594298	36202337.0	9.09090909091	39.0
L31_S1_R1_val_1	0.601519727979					
L31_S1_R1_val_1_val_1		12.3550131783	74.1658302326	35396097.0	9.09090909091	39.0
L31_S1_R2_val_2	0.561674171196					
L31_S1_R2_val_2_val_2		12.1751555654	74.6495417842	35396097.0	9.09090909091	39.0
cos2_S3_R1_val_1	0.53560274553					
cos2_S3_R1_val_1_val_1		13.7904806638	74.6174950145	33604945.0	9.09090909091	38.0
cos2_S3_R2_val_2	0.823506697198					
cos2_S3_R2_val_2_val_2		12.4771663689	74.4524393359	33604945.0	9.09090909091	39.0
