Sample	bp_processed	r_with_adapters	quality_trimmed	r_processed	percent_trimmed	bp_written
A44_S2_R1	1485518869	3484122	31495870	19671500	3.00205846796	1440922724
A44_S2_R2	1485872915	3318775	33501754	19671500	2.54339779792	1448081256
Control_S5_R1	2018649932	4633332	53194429	26731086	3.3260353336	1951508922
Control_S5_R2	2018437991	4800938	53543332	26731086	2.95056327049	1958882701
H22_S4_R1	2782609062	5968474	25376663	36836717	1.27639507414	2747091977
H22_S4_R2	2782438534	6123247	33966176	36836717	1.49547368222	2740827898
L31_S1_R1	2709438194	6024833	20213047	35870417	1.16561599633	2677856549
L31_S1_R2	2709215502	6138517	29961577	35870417	1.39028552628	2671549671
cos2_S3_R1	2568551585	5670282	17612738	34005182	1.07151023015	2541029292
cos2_S3_R2	2568633354	5759183	29022408	34005182	1.41739267472	2532225733
