Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
A44_S2_R1	3.00205846796					
A44_S2_R1_val_1		10.6404551296	74.5451544682	19092662.0	9.09090909091	39.0
A44_S2_R2	2.54339779792					
A44_S2_R2_val_2		10.7725663548	74.5816536741	19092662.0	9.09090909091	39.0
Control_S5_R1	3.3260353336					
Control_S5_R1_val_1		13.4250145769	74.5049016894	25778969.0	9.09090909091	40.0
Control_S5_R2	2.95056327049					
Control_S5_R2_val_2		13.62574979	74.4900484189	25778969.0	9.09090909091	40.0
H22_S4_R1	1.27639507414					
H22_S4_R1_val_1		13.0831424394	74.9136725771	36438873.0	9.09090909091	40.0
H22_S4_R2	1.49547368222					
H22_S4_R2_val_2		12.2934950739	74.8420266181	36438873.0	9.09090909091	40.0
L31_S1_R1	1.16561599633					
L31_S1_R1_val_1		13.2839904352	74.9130117223	35559228.0	9.09090909091	39.0
L31_S1_R2	1.39028552628					
L31_S1_R2_val_2		12.5889973771	74.8604536915	35559228.0	9.09090909091	39.0
cos2_S3_R1	1.07151023015					
cos2_S3_R1_val_1		14.0203202205	74.9438906115	33736707.0	9.09090909091	39.0
cos2_S3_R2	1.41739267472					
cos2_S3_R2_val_2		12.8437004973	74.8107646962	33736707.0	9.09090909091	39.0
