Sample	bp_processed	r_with_adapters	quality_trimmed	r_processed	percent_trimmed	bp_written
A44_S2_R1_val_1	1423265438	4154769	1936609	19092662	1.55303321572	1401161653
A44_S2_R2_val_2	1423962305	4437182	1865491	19092662	2.11165301879	1393893162
Control_S5_R1_val_1	1920659551	5711088	3435656	25778969	1.61614092325	1889618986
Control_S5_R2_val_2	1920276649	5566875	3581484	25778969	1.94819376778	1882865939
H22_S4_R1_val_1	2729769801	7993978	2170701	36438873	0.675486225734	2711330582
H22_S4_R2_val_2	2727159103	7946123	2938483	36438873	1.00303847216	2699804648
L31_S1_R1_val_1	2663848864	7576315	2250414	35559228	0.580963965679	2648372862
L31_S1_R2_val_2	2661979941	7425671	2953451	35559228	0.824584951296	2640029655
cos2_S3_R1_val_1	2528360079	7109077	1864495	33736707	0.53560274553	2514818113
cos2_S3_R2_val_2	2523868849	7522610	2681612	33736707	0.823506697198	2503084620
