Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
A44_S2_R1_val_1	1.55303321572					
A44_S2_R1_val_1_val_1		10.2248865345	74.5105822319	18729461.0	9.09090909091	38.0
A44_S2_R2_val_2	2.11165301879					
A44_S2_R2_val_2_val_2		9.48074817953	74.36471167	18729461.0	9.09090909091	38.0
Control_S5_R1_val_1	1.61614092325					
Control_S5_R1_val_1_val_1		13.0390786148	74.4537371332	25283485.0	9.09090909091	39.0
Control_S5_R2_val_2	1.94819376778					
Control_S5_R2_val_2_val_2		12.557335429	74.3955016486	25283485.0	9.09090909091	39.0
H22_S4_R1_val_1	0.675486225734					
H22_S4_R1_val_1_val_1		12.864943765	74.6145954058	36202337.0	9.09090909091	39.0
H22_S4_R2_val_2	1.00303847216					
H22_S4_R2_val_2_val_2		11.8605217127	74.5368594298	36202337.0	9.09090909091	39.0
L31_S1_R1_val_1	0.580963965679					
L31_S1_R1_val_1_val_1		13.043030405	74.5878032147	35398311.0	9.09090909091	39.0
L31_S1_R2_val_2	0.824584951296					
L31_S1_R2_val_2_val_2		12.2928323247	74.5417458477	35398311.0	9.09090909091	39.0
cos2_S3_R1_val_1	0.53560274553					
cos2_S3_R1_val_1_val_1		13.7904806638	74.6174950145	33604945.0	9.09090909091	38.0
cos2_S3_R2_val_2	0.823506697198					
cos2_S3_R2_val_2_val_2		12.4771663689	74.4524393359	33604945.0	9.09090909091	39.0
